,slope,intercept,r2,p_value,std_err,cause,income_level
0,-79.9636153790742,167687.8301216363,0.9855333037887539,5.18632252659019e-31,1.712641489744414,Cardiovascular diseases,LM
1,-15.795896711695729,38041.97402035509,0.7040928321274861,5.694090013257065e-10,1.8102229943966974,Cardiovascular diseases,L
2,-96.88768216968877,197826.94475285304,0.9531692276553512,7.660609829025901e-23,3.796419810376727,Cardiovascular diseases,H
3,-97.29199440703432,201713.85669942532,0.8664302540158414,1.5363379976521754e-15,6.752885138293332,Cardiovascular diseases,UM
4,-12.890413610245824,27080.602367210144,0.9603786164645159,5.2613858018381915e-24,0.4628448555219594,Chronic respiratory diseases,LM
5,-3.6234310086078287,8618.095004139366,0.7147706333752162,3.1407462179561223e-10,0.4046306491086917,Chronic respiratory diseases,L
6,-2.491906522642006,5862.4590391872125,0.9119211483548637,1.917408744766189e-18,0.13690330600775635,Chronic respiratory diseases,H
7,-11.33790406942152,24201.13620739194,0.7661484911038438,1.2677653153428437e-11,1.10731555796393,Chronic respiratory diseases,UM
8,-0.9674466712340909,1972.167139947525,0.8622010909580572,2.5356035965157443e-15,0.06837079835176275,Environmental heat and cold exposure,LM
9,-0.44694382895606555,930.7289860855111,0.9619642974400809,2.734970281408092e-24,0.01571065169632,Environmental heat and cold exposure,L
10,0.4362447054798181,-854.3692380048286,0.15425947612447774,0.021578845640398435,0.18057092555981616,Environmental heat and cold exposure,H
11,-3.1305995975735814,6366.119835762383,0.9751150298907568,3.0627626345504053e-27,0.08840832702991207,Environmental heat and cold exposure,UM
