,country,year,annual_cold_intensity_sum,annual_dry_area,annual_freeze_burden,annual_heat_intensity_sum,annual_potential_evap,annual_total_evap,anomaly_cold_days,anomaly_heat_days,caution_area,drought_episodes,evap_deficit,extreme_area,extreme_heat_episodes,extreme_rain_days,heat_episodes,heavy_rain_days,max_heat_intensity,max_monthly_wind_speed,max_rolling_heat_stress,max_runoff,max_temp,max_year_precip,mean_annual_net_solar,mean_annual_net_thermal,mean_annual_rsn,mean_annual_wind_speed,mean_caution_area,mean_cold_area,mean_dry_area,mean_extreme_area,mean_latent_heat,mean_sensible_heat,mean_soil_moisture,mean_temp,min_monthly_soil_moisture,min_temp,no2_mean,ozone_mean,pm25_mean,pressure_variability,runoff_days,total_tropical_nights,winter_mean_snow_density
0,Algeria,1990,11.531195894490814,348.5018327067669,3.0169172932330786,6.013540333889829,-0.0923488,-0.002940982,12.0,13.0,218.98984962406016,317,0.08940782,218.98984962406016,222,15,193,59,1.2287496410684469,2.79256,2.155243923205348,0.0350234881043434,48.757965,0.0826104283332824,14144159.0,-10043917.0,100.848175,2.0465038,0.5999721907508497,0.0082655268307755,0.954799541662375,0.5999721907508497,-612897.56,-3495528.0,0.031141365,23.01905729178082,0.014740104,-9.686066,13.9,50.1,12.3,337.75552,14.0,0,103.16941
1,Algeria,1991,25.840974690818022,349.0563439849624,7.566541353383452,6.577771051752933,-0.091692336,-0.0029622614,20.0,11.0,203.44732142857143,318,0.088730074,203.44732142857143,209,19,169,54,1.920888641068452,2.5540597,3.679657923205348,0.012545019,49.450104,0.0742921084165573,14143740.0,-9989483.0,101.478355,1.8126726,0.5573899217221135,0.0207302502832423,0.9563187506437324,0.5573899217221135,-617368.5,-3546494.0,0.031354938,22.027048421369862,0.013680833,-9.757172,,50.7,12.5,346.89618,24.0,0,104.58063
2,Algeria,1992,23.866689766277123,352.15399436090223,6.623073308270671,1.9311095642737897,-0.09109891,-0.0025960312,19.0,4.0,200.4126409774436,321,0.088502884,200.4126409774436,201,27,182,46,0.92455064106845,2.5546646,1.9101249232053448,0.0169842541217803,48.453766,0.0786614790558815,14126605.0,-10060416.0,101.131615,2.015754,0.547575521796294,0.018095828711122,0.9621693834997328,0.547575521796294,-541022.2,-3517606.2,0.028268216,21.687040440710383,0.0127433315,-7.7236023,,50.0,12.8,360.5886,22.0,0,103.108215
3,Algeria,1993,52.61640378530884,353.17753759398494,7.721193609022551,10.181197821368984,-0.09359542,-0.0023074818,32.0,20.0,212.0672932330827,335,0.09128794,212.06691729323308,219,11,191,38,1.2289946410684465,2.785292,3.185030923205346,0.0090681165456771,48.75821,0.0878473445773124,14265864.0,-10228428.0,101.32281,1.8382215,0.5810062828303636,0.0211539550932124,0.9676096920383148,0.5810052528581728,-480956.16,-3548617.8,0.026944114,22.44701416547945,0.011486446,-13.779633,,50.7,13.1,390.62796,5.0,0,103.569466
4,Algeria,1994,18.151318615358928,349.6655545112782,5.354840225563905,1.515310487479148,-0.093407266,-0.002874675,21.0,7.0,208.3073778195489,320,0.09053259,208.3073778195489,215,23,178,54,0.8256746410684457,2.6669085,0.8896292821368945,0.0154293775558471,48.35489,0.0605638995766639,14279433.0,-10170073.0,101.12556,2.008248,0.5707051447110928,0.0146707951385312,0.9579878205788444,0.5707051447110928,-599095.7,-3509302.2,0.030366749,22.615564165753423,0.010877304,-6.5750427,,50.5,13.5,345.50076,15.0,0,104.11169
5,Algeria,1995,55.24313559081803,351.5843515037594,6.180122180451123,18.94240174457433,-0.093948506,-0.0025098298,20.0,23.0,206.9433740601504,333,0.09143867,206.9433740601504,209,18,172,48,2.828847641068449,2.5626645,7.086153923205352,0.0130595341324806,50.358063,0.0789780169725418,14264451.0,-10146005.0,100.948814,1.8335586,0.5669681481100011,0.016931841590277,0.9632447986404368,0.5669681481100011,-523069.5,-3574630.2,0.026871422,22.725260444657536,0.011741057,-11.975922,13.5,51.7,13.5,387.3436,19.0,0,102.75521
6,Algeria,1996,7.122450771786309,348.4664003759398,2.927631578947364,6.449067616026724,-0.093108974,-0.003204612,7.0,15.0,211.51043233082703,316,0.08990436,211.51043233082703,219,23,188,62,0.956288641068447,2.2720447,2.4450379232053407,0.0201770961284637,48.485504,0.0608372613787651,14181892.0,-10086118.0,100.96637,1.7017804,0.5778973560951559,0.007998993385102,0.9520939900981964,0.5778973560951559,-667852.2,-3432676.8,0.03142258,22.686188896174865,0.013570972,-9.242523,,50.9,14.1,221.69955,29.0,0,102.66271
7,Algeria,1997,1.785543949081802,350.6670582706767,1.9601033834586408,12.355786898163622,-0.09299575,-0.0024936262,2.0,17.0,209.88618421052632,315,0.09050212,209.88618421052632,220,17,188,49,1.4831446410684492,2.96956,3.910369923205344,0.020049676,49.01236,0.061176565,14241456.0,-10140643.0,100.46784,1.8500022,0.5750306416726748,0.005370146256051,0.9607316664950046,0.5750306416726748,-519667.38,-3579910.0,0.02705802,22.79165799863014,0.012109943,-5.495697,,50.7,14.4,343.02762,13.0,0,101.72675
8,Algeria,1998,4.261185545409014,353.51503759398497,5.044971804511273,13.48683710350587,-0.095173605,-0.0022665167,10.0,22.0,211.54929511278195,335,0.092907086,211.54929511278195,218,18,189,47,2.0930076410684464,2.501541,4.092986923205338,0.0278675407171249,49.622223,0.0780870541930198,14238165.0,-10167851.0,100.88752,1.9714915,0.5795871098980327,0.0138218405603048,0.9685343495725616,0.5795871098980327,-472346.25,-3599385.2,0.024266226,22.86440948630137,0.0115973735,-5.78598,,49.7,14.8,374.67526,16.0,0,102.426994
9,Algeria,1999,87.83572420801335,350.74328007518795,9.340366541353378,25.56357200166947,-0.095698036,-0.002573471,37.0,39.0,220.48378759398497,324,0.09312457,220.48378759398497,225,16,207,50,1.622304641068446,2.2851727,4.296601923205344,0.0198972076177597,49.15152,0.0730280578136444,14322779.0,-10306038.0,102.57895,1.7981278,0.6040651714903698,0.0255900453187763,0.9609404933566792,0.6040651714903698,-536332.06,-3471736.0,0.030540263,23.19001139643836,0.012332125,-14.522064,,54.4,15.1,292.76614,28.0,0,109.21281
10,Algeria,2000,31.486943138063435,356.8334116541353,8.143890977443604,6.24889533388982,-0.096388645,-0.0020428884,26.0,13.0,214.1563909774436,343,0.094345756,214.1563909774436,221,9,185,32,1.1376846410684465,2.900351,2.372283923205337,0.0315108336508274,48.6669,0.0983592793345451,14448072.0,-10447343.0,100.61765,2.0810935,0.5851267513044908,0.0222510682443814,0.974954676650643,0.5851267513044908,-425740.5,-3567188.8,0.02325813,22.687186518306014,0.011589124,-7.7123413,13.9,55.1,15.6,373.20868,6.0,0,102.36785
11,Algeria,2001,9.337703869949912,355.28247180451126,4.228947368421048,11.331067744574304,-0.097925805,-0.0019401086,11.0,23.0,229.4061560150376,343,0.095985696,229.4061560150376,239,12,209,30,1.6440346410684512,2.5911171,3.5048549232053503,0.013205662369728,49.17325,0.0862398296594619,14464992.0,-10513573.0,101.1683,1.8312575,0.6285100164795551,0.0115861571737562,0.9733766350808528,0.6285100164795551,-404315.0,-3537039.0,0.021516183,23.602237882191783,0.0109983515,-7.0176697,,54.5,14.4,297.76657,10.0,0,103.44686
12,Algeria,2002,6.7921198208681135,353.1143796992481,4.0045582706766885,29.97326707846414,-0.09707703,-0.0021987127,9.0,36.0,215.9672462406015,335,0.094878316,215.9672462406015,219,24,189,49,2.9067286410684474,2.96479,6.923553923205347,0.0163645148277282,50.435944,0.0653738155961036,14310156.0,-10259621.0,100.665344,1.7749401,0.5916910855906891,0.0109713925224018,0.9674366567102688,0.5916910855906891,-458213.9,-3587175.8,0.024205834,23.24037334383561,0.012776454,-7.766693,,52.5,15.0,390.11063,19.0,0,102.41451
13,Algeria,2003,63.42496323806344,348.43171992481206,6.320159774436085,7.800631616026735,-0.094905525,-0.0028736296,26.0,15.0,220.45079887218048,318,0.092031896,220.45079887218048,215,23,201,66,1.3017476410684452,2.63419,3.440154923205341,0.0210358798503875,48.830963,0.0950291603803634,14147176.0,-10055128.0,101.71595,1.8784486,0.6039747914306314,0.0173155062313317,0.9546074518488,0.6039747914306314,-598933.5,-3496062.2,0.031720217,23.21630396465753,0.012582721,-12.591644,,52.0,14.1,247.60623,61.0,0,106.11111
14,Algeria,2004,24.408811943572616,349.9954887218045,4.634398496240596,2.5336318464106924,-0.09404522,-0.0030660238,14.0,6.0,218.73261278195488,322,0.090979196,218.73261278195488,232,22,192,66,0.7819726410684495,2.4175966,1.785858923205346,0.0231229215860366,48.311188,0.0791423395276069,14200704.0,-10100737.0,101.39303,1.7684385,0.5976300895681828,0.0126622909733349,0.9562718271087556,0.5976300895681828,-639026.8,-3467952.0,0.031624883,22.67477834590164,0.013819375,-10.958771,,52.2,14.3,233.1513,27.0,0,103.11724
15,Algeria,2005,124.44764197612686,350.87640977443607,13.373590225563904,15.589605385642765,-0.095664,-0.0026025479,52.0,24.0,225.3119830827068,323,0.093061455,225.3119830827068,233,18,216,56,1.9494546410684488,2.5103068,4.494356923205345,0.0194617509841918,49.47867,0.0774464160203933,14211997.0,-10098880.0,102.65118,1.7632223,0.6172931043361829,0.036639973220723,0.961305232258729,0.6172931043361829,-542517.44,-3554113.0,0.029219227,23.125454582739724,0.012247358,-16.778809,13.0,49.9,14.9,267.52307,63.0,0,108.93409
16,Algeria,2006,16.60669726811352,349.12105263157895,5.237359022556387,6.985944974958272,-0.094608255,-0.00308522,15.0,14.0,223.8063909774436,317,0.09152304,223.8059210526316,234,21,219,52,0.96458964106845,2.6405828,2.571258923205349,0.0178590565919876,48.493805,0.0738527327775955,14109149.0,-10012588.0,101.62197,1.7575597,0.6131681944587496,0.0143489288289216,0.9564960346070656,0.6131669069935112,-643007.2,-3448966.8,0.032101627,23.12491425342466,0.0136285685,-8.317474,12.6,49.6,16.8,305.58005,12.0,0,105.33042
17,Algeria,2007,12.451525419031716,351.69375,4.161090225563905,5.57066097495828,-0.094815984,-0.0024943855,13.0,14.0,217.874765037594,325,0.0923216,217.874765037594,218,27,187,59,1.3461816410684475,2.6497471,3.3095399232053424,0.0181031674146652,48.875397,0.071425586938858,14325257.0,-10258809.0,100.91254,1.8582057,0.5969171644865588,0.0114002471933257,0.9635445205479451,0.5969171644865588,-519841.16,-3548342.8,0.026049638,22.94705839452055,0.012078694,-7.360443,12.5,49.5,17.5,369.14777,23.0,0,101.93234
18,Algeria,2008,28.47793896444073,350.89473684210526,6.034445488721799,9.324309616026731,-0.09502099,-0.0027610147,23.0,15.0,213.8680921052632,322,0.09225997,213.8680921052632,219,15,196,53,1.8347066410684505,2.8652833,3.465300923205348,0.0132991299033164,49.363922,0.0640025958418846,14248555.0,-10135698.0,101.36172,1.8897895,0.5843390494679321,0.0164875559801142,0.95872878918608,0.5843390494679321,-575422.3,-3537991.8,0.03161209,22.73476472896175,0.0130334925,-11.301697,12.9,49.7,17.5,357.99725,10.0,0,103.86317
19,Algeria,2009,5.761711722704507,349.1219454887218,2.565836466165408,5.259666410684474,-0.094705135,-0.003212146,5.0,10.0,213.0985432330827,317,0.09149299,213.0985432330827,213,27,180,61,1.0034076410684492,2.8801908,2.179656923205343,0.0346998125314712,48.532623,0.0854301899671554,14152583.0,-10011995.0,101.53463,1.8688699,0.583831625296117,0.0070296889483983,0.9564984807910186,0.583831625296117,-669425.7,-3450909.0,0.032818902,22.931213026575342,0.012931545,-6.709076,13.0,51.4,16.9,170.88603,45.0,0,105.05683
20,Algeria,2010,9.88240979632721,351.3126409774436,2.4745300751879657,3.3065497696160406,-0.098163106,-0.0025552437,8.0,9.0,238.1007988721805,326,0.09560786,238.1007988721805,240,16,211,47,0.8969626410684484,2.5581582,1.257537923205348,0.0160420835018157,48.426178,0.0605649426579475,14079356.0,-9990039.0,100.81146,1.5794472,0.6523309558141931,0.0067795344525697,0.9625003862395716,0.6523309558141931,-532524.9,-3549817.8,0.026086524,24.19304295753425,0.014067895,-8.090179,13.2,52.3,17.2,155.26364,19.0,0,102.633606
