,country,year,cause,Deaths,DALYs,Incidence,income_level,income_level_mode,gdp,health_exp
3059,Sierra Leone,2023,Environmental heat and cold exposure,0.4043114830271844,18.60086272881372,18.75284484792,L,L,758.329137378248,4.71883011
3060,South Africa,1990,Cardiovascular diseases,233.74809231013583,5341.542757227427,594.21274537556,UM,UM,3093.48920352334,
3061,South Africa,1990,Chronic respiratory diseases,54.04648497110889,1634.2705640808429,1269.1824912008,UM,UM,3093.48920352334,
3062,South Africa,1990,Environmental heat and cold exposure,1.187611472853601,64.1375247621053,55.33250880054,UM,UM,3093.48920352334,
3063,South Africa,1991,Cardiovascular diseases,233.03300645622988,5325.035761021243,595.58897987893,UM,UM,3243.23616023953,
3064,South Africa,1991,Chronic respiratory diseases,54.08119973336833,1630.8624958478026,1299.09524307041,UM,UM,3243.23616023953,
3065,South Africa,1991,Environmental heat and cold exposure,1.1598781295133969,62.3362715841762,54.78666031692,UM,UM,3243.23616023953,
3066,South Africa,1992,Cardiovascular diseases,230.7326427215579,5289.7694247071895,597.27259407822,UM,UM,3462.39400202835,
3067,South Africa,1992,Chronic respiratory diseases,55.08813687613172,1648.8170183832965,1326.17157653422,UM,UM,3462.39400202835,
3068,South Africa,1992,Environmental heat and cold exposure,1.1495577845903482,61.361473337981465,54.22346047735,UM,UM,3462.39400202835,
3069,South Africa,1993,Cardiovascular diseases,240.65448476734943,5560.097549054243,599.20557108845,UM,UM,3399.64009566241,
3070,South Africa,1993,Chronic respiratory diseases,55.74717411343216,1660.227858444186,1348.45090435676,UM,UM,3399.64009566241,
3071,South Africa,1993,Environmental heat and cold exposure,1.1537951605735848,61.190999927288125,53.64723199744,UM,UM,3399.64009566241,
3072,South Africa,1994,Cardiovascular diseases,246.4737742965802,5749.0155676249005,601.3098242936,UM,UM,3488.59711541763,
3073,South Africa,1994,Chronic respiratory diseases,58.35691694639969,1719.6824442968575,1363.98269771761,UM,UM,3488.59711541763,
3074,South Africa,1994,Environmental heat and cold exposure,1.2023097959879936,63.13615476928887,53.06427447522,UM,UM,3488.59711541763,
3075,South Africa,1995,Cardiovascular diseases,249.7516884631741,5816.160192482916,603.48560294303,UM,UM,3855.6340871567,
3076,South Africa,1995,Chronic respiratory diseases,58.6206766856814,1718.8948502347655,1370.8255943299,UM,UM,3855.6340871567,
3077,South Africa,1995,Environmental heat and cold exposure,1.1741303644735404,61.56812685806551,52.48079564198,UM,UM,3855.6340871567,
3078,South Africa,1996,Cardiovascular diseases,266.8186350689137,6207.791309282871,606.69458592141,UM,UM,3617.55336002932,
3079,South Africa,1996,Chronic respiratory diseases,63.41283991424865,1815.8495887063373,1372.28094169713,UM,UM,3617.55336002932,
3080,South Africa,1996,Environmental heat and cold exposure,1.2956280492294805,65.70460720498038,51.83510634668,UM,UM,3617.55336002932,
3081,South Africa,1997,Cardiovascular diseases,265.1197268975711,6116.168063917062,611.36910549817,UM,UM,3700.23554789867,
3082,South Africa,1997,Chronic respiratory diseases,66.00922545648883,1866.975155196125,1372.88369393633,UM,UM,3700.23554789867,
3083,South Africa,1997,Environmental heat and cold exposure,1.2026022863168422,61.43088181394284,51.103447565230006,UM,UM,3700.23554789867,
3084,South Africa,1998,Cardiovascular diseases,271.143364921932,6182.159790226048,616.4997756495,LM,UM,3309.60933087472,
3085,South Africa,1998,Chronic respiratory diseases,67.439008829809,1896.4257844506824,1372.42196518808,LM,UM,3309.60933087472,
