,country,year,cause,Deaths,DALYs,Incidence,income_level
0,Algeria,1990,Cardiovascular diseases,531.7843374062059,11253.922791550658,796.9633848862101,LM
1,Algeria,1990,Chronic respiratory diseases,36.0915789595565,1002.6517081656076,900.81125066446,LM
2,Algeria,1990,Environmental heat and cold exposure,0.1369688546210067,10.462594817114915,34.39190224033,LM
3,Algeria,1991,Cardiovascular diseases,522.1766142024703,11022.731268443062,795.3622713522601,LM
4,Algeria,1991,Chronic respiratory diseases,34.96569445168071,986.1160561190846,905.46316314001,LM
5,Algeria,1991,Environmental heat and cold exposure,0.1293087993776695,10.067620751269176,34.00253435931,LM
6,Algeria,1992,Cardiovascular diseases,513.2302611496477,10816.110335156369,793.6170458811699,LM
7,Algeria,1992,Chronic respiratory diseases,34.232722876459455,973.0979733599725,909.51868576778,LM
8,Algeria,1992,Environmental heat and cold exposure,0.123086136207277,9.733579993037798,33.62697691655,LM
9,Algeria,1993,Cardiovascular diseases,505.4664335492659,10633.970031198502,791.7486447672101,LM
10,Algeria,1993,Chronic respiratory diseases,33.579754416625086,961.7968565605322,912.7828386141,LM
11,Algeria,1993,Environmental heat and cold exposure,0.1174851232688701,9.429355631233816,33.27078071759,LM
12,Algeria,1994,Cardiovascular diseases,497.8908450516916,10447.59803066026,789.85328538157,LM
13,Algeria,1994,Chronic respiratory diseases,32.64581898271076,946.7677383061084,915.05896492626,LM
14,Algeria,1994,Environmental heat and cold exposure,0.112074820602368,9.170466520164217,32.939524674249995,LM
15,Algeria,1995,Cardiovascular diseases,490.9022054502192,10285.170167686594,787.96449542336,LM
16,Algeria,1995,Chronic respiratory diseases,32.08136662582847,936.3292943863006,916.16063265886,LM
17,Algeria,1995,Environmental heat and cold exposure,0.1071223683533427,8.89455144621572,32.63872680651,LM
18,Algeria,1996,Cardiovascular diseases,484.2429884719402,10129.741246182257,786.0524967991399,LM
19,Algeria,1996,Chronic respiratory diseases,31.59577673035845,927.843576345385,916.01099544691,LM
20,Algeria,1996,Environmental heat and cold exposure,0.1022145526275916,8.622490086161312,32.32385723467,LM
