index,country,year,cause,Deaths,DALYs,Incidence,income_level
0,Algeria,1990,Asthma,12.475446452627155,432.74738867974446,755.72967553599,LM
1,Algeria,1990,Cardiovascular diseases,531.7843374062059,11253.922791550658,796.9633848862101,LM
2,Algeria,1990,Chronic obstructive pulmonary disease,21.63250761519057,491.20142416748826,140.83305731673,LM
3,Algeria,1990,Chronic respiratory diseases,36.0915789595565,1002.6517081656076,900.81125066446,LM
4,Algeria,1990,Environmental heat and cold exposure,0.1369688546210067,10.462594817114915,34.39190224033,LM
5,Algeria,1990,Ischemic heart disease,280.7179478850447,5881.846963445421,418.02418215178005,LM
6,Algeria,1990,Lower respiratory infections,36.13011911081759,1750.6807159672774,4933.11766911206,LM
7,Algeria,1990,Stroke,176.6621937228605,3606.214297003044,166.42615209928,LM
8,Algeria,1990,Upper respiratory infections,0.0065648346015857,51.92322099070943,150239.27985303255,LM
9,Algeria,1991,Asthma,11.993301089573428,424.6488169069787,759.96876456302,LM
10,Algeria,1991,Cardiovascular diseases,522.1766142024703,11022.731268443062,795.3622713522601,LM
11,Algeria,1991,Chronic obstructive pulmonary disease,21.02162042768946,484.0656002630975,141.26779707615,LM
12,Algeria,1991,Chronic respiratory diseases,34.96569445168071,986.1160561190846,905.46316314001,LM
13,Algeria,1991,Environmental heat and cold exposure,0.1293087993776695,10.067620751269176,34.00253435931,LM
14,Algeria,1991,Ischemic heart disease,277.2909197092654,5792.647831297719,416.51943139281,LM
15,Algeria,1991,Lower respiratory infections,34.38775103364926,1644.4606999189602,4958.52158900038,LM
16,Algeria,1991,Stroke,171.60598732310217,3495.67681222778,165.94056182724998,LM
17,Algeria,1991,Upper respiratory infections,0.0064609738204403,51.945143517426935,150128.47639621716,LM
18,Algeria,1992,Asthma,11.699840392608436,418.9044441654845,763.52952830225,LM
19,Algeria,1992,Cardiovascular diseases,513.2302611496477,10816.110335156369,793.6170458811699,LM
20,Algeria,1992,Chronic obstructive pulmonary disease,20.592331786907987,477.8003173488764,141.78570953132,LM
21,Algeria,1992,Chronic respiratory diseases,34.232722876459455,973.0979733599725,909.51868576778,LM
22,Algeria,1992,Environmental heat and cold exposure,0.123086136207277,9.733579993037798,33.62697691655,LM
23,Algeria,1992,Ischemic heart disease,273.361481288988,5699.436066954615,415.03953386374,LM
24,Algeria,1992,Lower respiratory infections,32.94399575445517,1547.702964624119,4969.6276121981,LM
25,Algeria,1992,Stroke,167.44215092890352,3406.3725971911813,165.23380173588,LM
26,Algeria,1992,Upper respiratory infections,0.0063506587509448,51.86899070656499,150019.1463952823,LM
