,country,year,rural,city
752,South Africa,2008,24.9,41.2
753,Niger,2008,48.9,25.5
754,Sierra Leone,2008,48.1,31.7
755,Kazakhstan,2008,27.4,36.4
756,Japan,2008,8.9,68.6
757,Pakistan,2008,17.1,44.8
758,Sri Lanka,2008,17.9,30.8
759,Philippines,2008,18.6,38.9
760,Thailand,2008,43.5,26.8
761,Ukraine,2008,25.6,45.0
762,Finland,2008,41.6,23.4
763,Sweden,2008,33.8,26.9
764,Bosnia and Herz.,2008,48.0,18.6
765,Austria,2008,44.4,29.3
766,Germany,2008,27.8,32.1
767,Netherlands,2008,16.3,43.6
768,Switzerland,2008,26.6,28.3
769,Cuba,2008,16.4,47.2
770,Honduras,2008,46.5,31.5
771,Mexico,2008,23.1,54.8
772,Nicaragua,2008,34.3,36.6
773,Bolivia,2008,32.7,50.0
774,Brazil,2008,22.0,51.4
775,Canada,2008,25.4,48.7
776,Australia,2008,20.2,43.1
777,United States of America,2008,28.3,28.5
778,Colombia,2008,21.4,58.1
779,WORLD,2009,22.0,41.8
780,Burundi,2009,28.5,14.2
781,Madagascar,2009,64.5,11.7
782,Malawi,2009,48.6,9.5
783,Mozambique,2009,49.9,25.4
784,Uganda,2009,45.3,12.2
785,Zimbabwe,2009,63.1,24.4
786,Central African Rep.,2009,46.0,21.8
787,Chad,2009,47.0,33.4
788,Algeria,2009,23.7,37.8
789,Egypt,2009,3.6,61.4
790,Morocco,2009,24.4,48.4
791,Tunisia,2009,31.8,38.5
792,Botswana,2009,31.0,10.1
793,South Africa,2009,24.6,41.8
794,Niger,2009,48.7,25.9
795,Sierra Leone,2009,47.8,32.6
796,Kazakhstan,2009,27.0,37.0
797,Japan,2009,8.9,68.6
798,Pakistan,2009,16.7,45.0
799,Sri Lanka,2009,17.8,31.0
800,Philippines,2009,18.3,39.0
801,Thailand,2009,43.1,27.5
802,Ukraine,2009,25.6,45.0
803,Finland,2009,41.3,23.5
804,Sweden,2009,33.6,27.2
805,Bosnia and Herz.,2009,48.0,18.3
806,Austria,2009,44.2,29.4
807,Germany,2009,27.8,32.1
808,Netherlands,2009,16.3,43.5
809,Switzerland,2009,26.2,28.3
810,Cuba,2009,16.5,47.3
811,Honduras,2009,46.2,31.8
812,Mexico,2009,23.0,55.0
813,Nicaragua,2009,34.3,36.5
814,Bolivia,2009,32.4,50.3
815,Brazil,2009,21.8,51.6
816,Canada,2009,25.2,49.2
817,Australia,2009,20.0,43.6
818,United States of America,2009,28.2,28.9
819,Colombia,2009,21.1,58.5
820,WORLD,2010,21.8,42.1
821,Burundi,2010,27.3,14.7
822,Madagascar,2010,64.0,12.0
823,Malawi,2010,47.4,9.6
824,Mozambique,2010,49.8,25.6
825,Uganda,2010,44.4,12.5
826,Zimbabwe,2010,63.1,24.7
827,Central African Rep.,2010,45.8,21.8
828,Chad,2010,47.0,33.6
829,Algeria,2010,23.4,38.3
830,Egypt,2010,3.6,61.9
831,Morocco,2010,24.1,48.7
832,Tunisia,2010,31.5,38.7
833,Botswana,2010,30.7,11.5
834,South Africa,2010,24.3,42.4
835,Niger,2010,48.5,26.2
836,Sierra Leone,2010,47.6,33.3
837,Kazakhstan,2010,26.6,37.5
838,Japan,2010,8.8,68.7
839,Pakistan,2010,16.2,45.2
840,Sri Lanka,2010,17.6,31.1
841,Philippines,2010,18.0,39.2
842,Thailand,2010,42.8,28.1
843,Ukraine,2010,25.7,44.9
844,Finland,2010,41.1,23.6
845,Sweden,2010,33.3,27.4
846,Bosnia and Herz.,2010,48.0,18.1
847,Austria,2010,44.0,29.6
848,Germany,2010,27.8,32.1
849,Netherlands,2010,16.3,43.4
850,Switzerland,2010,25.8,28.3
851,Cuba,2010,16.5,47.4
852,Honduras,2010,45.9,32.1
853,Mexico,2010,22.8,55.1
854,Nicaragua,2010,34.3,36.3
855,Bolivia,2010,32.2,50.6
856,Brazil,2010,21.7,51.9
857,Canada,2010,25.0,49.7
858,Australia,2010,19.8,44.0
859,United States of America,2010,28.0,29.2
860,Colombia,2010,20.9,58.8
861,WORLD,2011,21.6,42.3
862,Burundi,2011,25.8,14.9
863,Madagascar,2011,63.2,12.7
864,Malawi,2011,46.0,9.9
865,Mozambique,2011,49.7,26.0
866,Uganda,2011,43.0,12.8
867,Zimbabwe,2011,63.3,24.7
868,Central African Rep.,2011,45.7,22.3
869,Chad,2011,47.0,33.7
870,Algeria,2011,23.0,38.8
871,Egypt,2011,3.5,62.6
872,Morocco,2011,23.8,49.1
873,Tunisia,2011,31.2,39.5
874,Botswana,2011,30.6,12.6
875,South Africa,2011,24.0,43.0
876,Niger,2011,48.7,26.1
877,Sierra Leone,2011,47.0,34.0
878,Kazakhstan,2011,26.2,38.3
879,Japan,2011,8.8,68.7
880,Pakistan,2011,15.8,45.3
881,Sri Lanka,2011,17.4,31.5
882,Philippines,2011,17.7,39.5
883,Thailand,2011,42.4,28.6
884,Ukraine,2011,25.7,45.0
885,Finland,2011,40.8,24.0
886,Sweden,2011,33.1,27.9
887,Bosnia and Herz.,2011,48.0,17.8
888,Austria,2011,43.7,29.9
889,Germany,2011,27.8,32.2
890,Netherlands,2011,16.3,43.7
891,Switzerland,2011,25.6,28.5
892,Cuba,2011,16.6,47.4
893,Honduras,2011,45.6,32.7
894,Mexico,2011,22.6,55.2
895,Nicaragua,2011,34.4,36.2
896,Bolivia,2011,31.9,50.8
897,Brazil,2011,21.6,52.2
898,Canada,2011,24.9,50.0
899,Australia,2011,19.5,44.5
900,United States of America,2011,27.8,29.7
901,Colombia,2011,20.6,59.3
902,WORLD,2012,21.4,42.6
903,Burundi,2012,24.5,15.1
904,Madagascar,2012,62.5,13.3
905,Malawi,2012,44.6,10.2
906,Mozambique,2012,49.5,26.4
907,Uganda,2012,41.7,13.0
908,Zimbabwe,2012,63.5,24.6
909,Central African Rep.,2012,45.5,22.7
910,Chad,2012,46.9,33.7
911,Algeria,2012,22.6,39.2
912,Egypt,2012,3.5,63.2
913,Morocco,2012,23.6,49.5
914,Tunisia,2012,30.9,40.2
915,Botswana,2012,30.5,13.7
916,South Africa,2012,23.7,43.5
917,Niger,2012,48.9,26.0
918,Sierra Leone,2012,46.5,34.6
919,Kazakhstan,2012,25.9,39.0
920,Japan,2012,8.8,68.6
921,Pakistan,2012,15.4,45.4
922,Sri Lanka,2012,17.2,31.9
923,Philippines,2012,17.3,39.8
924,Thailand,2012,42.0,29.1
925,Ukraine,2012,25.7,45.0
926,Finland,2012,40.5,24.5
927,Sweden,2012,32.9,28.4
928,Bosnia and Herz.,2012,47.9,17.5
929,Austria,2012,43.4,30.1
930,Germany,2012,27.7,32.2
931,Netherlands,2012,16.2,44.0
932,Switzerland,2012,25.4,28.8
933,Cuba,2012,16.6,47.5
934,Honduras,2012,45.3,33.3
935,Mexico,2012,22.5,55.4
936,Nicaragua,2012,34.4,36.0
937,Bolivia,2012,31.6,51.0
938,Brazil,2012,21.5,52.4
939,Canada,2012,24.8,50.3
940,Australia,2012,19.3,45.0
941,United States of America,2012,27.6,30.3
942,Colombia,2012,20.4,59.8
943,WORLD,2013,21.2,42.8
944,Burundi,2013,23.2,15.3
945,Madagascar,2013,61.8,13.9
946,Malawi,2013,43.2,10.4
947,Mozambique,2013,49.4,26.8
948,Uganda,2013,40.5,13.2
949,Zimbabwe,2013,63.7,24.6
950,Central African Rep.,2013,45.4,23.2
951,Chad,2013,46.9,33.7
952,Algeria,2013,22.3,39.7
953,Egypt,2013,3.4,63.8
954,Morocco,2013,23.3,49.8
955,Tunisia,2013,30.6,40.9
956,Botswana,2013,30.5,14.7
957,South Africa,2013,23.4,44.0
958,Niger,2013,49.0,25.9
959,Sierra Leone,2013,46.0,35.2
960,Kazakhstan,2013,25.5,39.8
961,Japan,2013,8.8,68.6
962,Pakistan,2013,15.0,45.5
963,Sri Lanka,2013,17.0,32.3
964,Philippines,2013,17.0,40.1
965,Thailand,2013,41.7,29.7
966,Ukraine,2013,25.7,45.0
967,Finland,2013,40.2,24.9
968,Sweden,2013,32.7,28.8
969,Bosnia and Herz.,2013,47.8,17.1
970,Austria,2013,43.1,30.4
971,Germany,2013,27.7,32.3
972,Netherlands,2013,16.2,44.3
973,Switzerland,2013,25.2,29.0
974,Cuba,2013,16.7,47.5
975,Honduras,2013,45.0,34.0
976,Mexico,2013,22.4,55.5
977,Nicaragua,2013,34.5,35.8
978,Bolivia,2013,31.3,51.2
979,Brazil,2013,21.3,52.7
980,Canada,2013,24.6,50.6
981,Australia,2013,19.1,45.5
982,United States of America,2013,27.3,30.8
983,Colombia,2013,20.1,60.2
984,WORLD,2014,21.0,43.1
985,Burundi,2014,22.0,15.5
986,Madagascar,2014,61.1,14.5
987,Malawi,2014,42.0,10.6
988,Mozambique,2014,49.2,27.2
989,Uganda,2014,39.3,13.4
990,Zimbabwe,2014,63.9,24.5
991,Central African Rep.,2014,45.3,23.6
992,Chad,2014,46.9,33.7
993,Algeria,2014,22.0,40.1
994,Egypt,2014,3.4,64.3
995,Morocco,2014,23.1,50.2
996,Tunisia,2014,30.4,41.6
997,Botswana,2014,30.4,15.7
998,South Africa,2014,23.1,44.5
999,Niger,2014,49.2,25.9
1000,Sierra Leone,2014,45.6,35.8
1001,Kazakhstan,2014,25.2,40.5
1002,Japan,2014,8.9,68.5
1003,Pakistan,2014,14.7,45.6
1004,Sri Lanka,2014,16.8,32.6
1005,Philippines,2014,16.7,40.3
1006,Thailand,2014,41.3,30.2
1007,Ukraine,2014,25.7,45.0
1008,Finland,2014,39.9,25.3
1009,Sweden,2014,32.5,29.3
1010,Bosnia and Herz.,2014,47.8,16.8
1011,Austria,2014,42.8,30.7
1012,Germany,2014,27.6,32.4
1013,Netherlands,2014,16.2,44.7
1014,Switzerland,2014,25.1,29.3
1015,Cuba,2014,16.7,47.5
1016,Honduras,2014,44.8,34.5
1017,Mexico,2014,22.2,55.6
1018,Nicaragua,2014,34.6,35.7
1019,Bolivia,2014,31.0,51.4
1020,Brazil,2014,21.2,52.9
1021,Canada,2014,24.5,50.9
1022,Australia,2014,18.9,46.0
1023,United States of America,2014,27.1,31.2
1024,Colombia,2014,19.9,60.7
1025,WORLD,2015,20.9,43.3
1026,Burundi,2015,20.9,15.7
1027,Madagascar,2015,60.5,15.0
1028,Malawi,2015,40.8,10.9
1029,Mozambique,2015,49.1,27.5
1030,Uganda,2015,38.2,13.6
1031,Zimbabwe,2015,64.1,24.5
1032,Central African Rep.,2015,45.1,24.0
1033,Chad,2015,46.8,33.7
1034,Algeria,2015,21.7,40.5
1035,Egypt,2015,3.4,64.9
1036,Morocco,2015,22.9,50.5
1037,Tunisia,2015,30.1,42.3
1038,Botswana,2015,30.3,16.7
1039,South Africa,2015,22.9,44.9
1040,Niger,2015,49.3,25.8
1041,Sierra Leone,2015,45.1,36.4
1042,Kazakhstan,2015,24.8,41.2
1043,Japan,2015,8.9,68.4
1044,Pakistan,2015,14.3,45.7
1045,Sri Lanka,2015,16.6,33.0
1046,Philippines,2015,16.4,40.6
1047,Thailand,2015,41.0,30.7
1048,Ukraine,2015,25.7,45.0
1049,Finland,2015,39.7,25.7
1050,Sweden,2015,32.3,29.7
1051,Bosnia and Herz.,2015,47.7,16.4
1052,Austria,2015,42.6,31.0
1053,Germany,2015,27.5,32.5
1054,Netherlands,2015,16.2,45.0
1055,Switzerland,2015,24.9,29.5
1056,Cuba,2015,16.8,47.6
1057,Honduras,2015,44.5,35.1
1058,Mexico,2015,22.1,55.8
1059,Nicaragua,2015,34.6,35.6
1060,Bolivia,2015,30.7,51.6
1061,Brazil,2015,21.1,53.2
1062,Canada,2015,24.3,51.2
1063,Australia,2015,18.7,46.4
1064,United States of America,2015,26.9,31.7
1065,Colombia,2015,19.6,61.1
1066,WORLD,2016,20.7,43.5
1067,Burundi,2016,19.7,15.6
1068,Madagascar,2016,59.8,15.7
1069,Malawi,2016,39.7,10.8
1070,Mozambique,2016,49.3,27.5
1071,Uganda,2016,36.5,13.9
1072,Zimbabwe,2016,64.6,23.9
1073,Central African Rep.,2016,44.9,24.2
1074,Chad,2016,47.2,33.1
1075,Algeria,2016,21.4,41.0
1076,Egypt,2016,3.3,65.3
1077,Morocco,2016,22.7,50.8
1078,Tunisia,2016,29.8,42.8
1079,Botswana,2016,30.4,17.3
1080,South Africa,2016,22.6,45.7
1081,Niger,2016,49.6,25.3
1082,Sierra Leone,2016,44.5,36.9
1083,Kazakhstan,2016,24.5,41.7
1084,Japan,2016,8.9,68.4
1085,Pakistan,2016,13.8,45.6
1086,Sri Lanka,2016,16.3,33.4
1087,Philippines,2016,16.2,40.8
1088,Thailand,2016,40.7,31.4
1089,Ukraine,2016,25.8,45.0
1090,Finland,2016,39.6,25.8
1091,Sweden,2016,32.1,30.2
1092,Bosnia and Herz.,2016,47.9,16.4
1093,Austria,2016,42.3,31.3
1094,Germany,2016,27.4,32.9
1095,Netherlands,2016,16.1,45.2
1096,Switzerland,2016,24.7,30.0
1097,Cuba,2016,17.0,47.4
1098,Honduras,2016,43.8,36.1
1099,Mexico,2016,22.2,55.3
1100,Nicaragua,2016,34.8,35.4
1101,Bolivia,2016,30.3,52.2
1102,Brazil,2016,21.0,53.3
1103,Canada,2016,24.2,51.4
1104,Australia,2016,18.5,46.9
1105,United States of America,2016,26.7,32.3
1106,Colombia,2016,19.4,61.3
1107,WORLD,2017,20.6,43.7
1108,Burundi,2017,18.5,15.5
1109,Madagascar,2017,59.0,16.4
1110,Malawi,2017,38.6,10.8
1111,Mozambique,2017,49.5,27.5
1112,Uganda,2017,34.8,14.1
1113,Zimbabwe,2017,65.0,23.3
1114,Central African Rep.,2017,44.6,24.5
1115,Chad,2017,47.6,32.5
1116,Algeria,2017,21.1,41.5
1117,Egypt,2017,3.2,65.8
1118,Morocco,2017,22.5,51.1
1119,Tunisia,2017,29.6,43.3
1120,Botswana,2017,30.5,17.8
1121,South Africa,2017,22.2,46.5
1122,Niger,2017,49.9,24.8
1123,Sierra Leone,2017,43.9,37.4
1124,Kazakhstan,2017,24.2,42.3
1125,Japan,2017,8.9,68.4
1126,Pakistan,2017,13.4,45.6
1127,Sri Lanka,2017,16.1,33.9
1128,Philippines,2017,15.9,40.9
1129,Thailand,2017,40.3,32.1
1130,Ukraine,2017,25.8,44.9
1131,Finland,2017,39.4,25.9
1132,Sweden,2017,31.9,30.6
1133,Bosnia and Herz.,2017,48.1,16.3
1134,Austria,2017,42.0,31.6
1135,Germany,2017,27.3,33.2
1136,Netherlands,2017,16.0,45.5
1137,Switzerland,2017,24.5,30.4
1138,Cuba,2017,17.2,47.1
1139,Honduras,2017,43.0,37.0
1140,Mexico,2017,22.3,54.9
1141,Nicaragua,2017,35.0,35.3
1142,Bolivia,2017,29.9,52.8
1143,Brazil,2017,21.0,53.5
1144,Canada,2017,24.1,51.6
1145,Australia,2017,18.3,47.4
1146,United States of America,2017,26.5,32.8
1147,Colombia,2017,19.2,61.6
1148,WORLD,2018,20.4,43.8
1149,Burundi,2018,17.4,15.5
1150,Madagascar,2018,58.4,17.1
1151,Malawi,2018,37.5,10.8
1152,Mozambique,2018,49.7,27.5
1153,Uganda,2018,33.2,14.4
1154,Zimbabwe,2018,65.5,22.8
1155,Central African Rep.,2018,44.4,24.7
1156,Chad,2018,47.9,32.0
1157,Algeria,2018,20.8,42.0
1158,Egypt,2018,3.2,66.2
1159,Morocco,2018,22.3,51.4
1160,Tunisia,2018,29.3,43.8
1161,Botswana,2018,30.6,18.4
1162,South Africa,2018,22.0,47.3
1163,Niger,2018,50.1,24.3
1164,Sierra Leone,2018,43.4,37.8
1165,Kazakhstan,2018,23.9,42.9
1166,Japan,2018,8.9,68.4
1167,Pakistan,2018,12.9,45.6
1168,Sri Lanka,2018,15.8,34.3
1169,Philippines,2018,15.7,41.1
1170,Thailand,2018,40.0,32.8
1171,Ukraine,2018,25.9,44.9
1172,Finland,2018,39.3,25.9
1173,Sweden,2018,31.6,31.1
1174,Bosnia and Herz.,2018,48.4,16.3
1175,Austria,2018,41.8,32.0
1176,Germany,2018,27.2,33.6
1177,Netherlands,2018,15.9,45.8
1178,Switzerland,2018,24.3,30.8
1179,Cuba,2018,17.4,46.9
1180,Honduras,2018,42.3,37.9
1181,Mexico,2018,22.5,54.5
1182,Nicaragua,2018,35.2,35.2
1183,Bolivia,2018,29.5,53.4
1184,Brazil,2018,20.9,53.6
1185,Canada,2018,24.0,51.8
1186,Australia,2018,18.1,47.9
1187,United States of America,2018,26.3,33.3
1188,Colombia,2018,18.9,61.8
1189,WORLD,2019,20.3,44.0
1190,Burundi,2019,16.4,15.4
1191,Madagascar,2019,57.7,17.7
1192,Malawi,2019,36.5,10.8
1193,Mozambique,2019,49.8,27.4
1194,Uganda,2019,31.8,14.6
1195,Zimbabwe,2019,65.9,22.3
1196,Central African Rep.,2019,44.2,24.9
1197,Chad,2019,48.2,31.5
1198,Algeria,2019,20.5,42.5
1199,Egypt,2019,3.1,66.6
1200,Morocco,2019,22.1,51.7
1201,Tunisia,2019,29.0,44.3
1202,Botswana,2019,30.7,18.9
1203,South Africa,2019,21.7,48.1
1204,Niger,2019,50.4,23.9
1205,Sierra Leone,2019,42.8,38.3
1206,Kazakhstan,2019,23.6,43.4
1207,Japan,2019,8.9,68.4
1208,Pakistan,2019,12.4,45.5
1209,Sri Lanka,2019,15.6,34.7
1210,Philippines,2019,15.4,41.3
1211,Thailand,2019,39.7,33.5
1212,Ukraine,2019,25.9,44.8
1213,Finland,2019,39.2,26.0
1214,Sweden,2019,31.4,31.5
1215,Bosnia and Herz.,2019,48.6,16.3
1216,Austria,2019,41.5,32.3
1217,Germany,2019,27.1,33.9
1218,Netherlands,2019,15.8,46.0
1219,Switzerland,2019,24.1,31.2
1220,Cuba,2019,17.7,46.7
1221,Honduras,2019,41.6,38.7
1222,Mexico,2019,22.6,54.0
1223,Nicaragua,2019,35.4,35.0
1224,Bolivia,2019,29.1,54.0
1225,Brazil,2019,20.8,53.7
1226,Canada,2019,23.9,51.9
1227,Australia,2019,18.0,48.4
1228,United States of America,2019,26.2,33.9
1229,Colombia,2019,18.7,62.1
1230,WORLD,2020,20.1,44.1
1231,Burundi,2020,15.4,15.4
1232,Madagascar,2020,57.1,18.3
1233,Malawi,2020,35.6,10.8
1234,Mozambique,2020,50.0,27.4
1235,Uganda,2020,30.4,14.8
1236,Zimbabwe,2020,66.4,21.8
1237,Central African Rep.,2020,43.9,25.1
1238,Chad,2020,48.5,31.0
1239,Algeria,2020,20.2,42.9
1240,Egypt,2020,3.1,67.0
1241,Morocco,2020,21.9,51.9
1242,Tunisia,2020,28.7,44.8
1243,Botswana,2020,30.8,19.4
1244,South Africa,2020,21.4,48.8
1245,Niger,2020,50.6,23.5
1246,Sierra Leone,2020,42.3,38.7
1247,Kazakhstan,2020,23.3,43.9
1248,Japan,2020,8.9,68.4
1249,Pakistan,2020,12.0,45.5
1250,Sri Lanka,2020,15.3,35.1
1251,Philippines,2020,15.2,41.5
1252,Thailand,2020,39.4,34.2
1253,Ukraine,2020,26.0,44.8
1254,Finland,2020,39.1,26.1
1255,Sweden,2020,31.2,32.0
1256,Bosnia and Herz.,2020,48.8,16.2
1257,Austria,2020,41.3,32.6
1258,Germany,2020,27.0,34.2
1259,Netherlands,2020,15.7,46.3
1260,Switzerland,2020,24.0,31.7
1261,Cuba,2020,17.9,46.5
1262,Honduras,2020,40.9,39.6
1263,Mexico,2020,22.7,53.6
1264,Nicaragua,2020,35.6,34.9
1265,Bolivia,2020,28.8,54.5
1266,Brazil,2020,20.8,53.9
1267,Canada,2020,23.8,52.1
1268,Australia,2020,17.8,48.9
1269,United States of America,2020,26.0,34.4
1270,Colombia,2020,18.5,62.3
1271,WORLD,2021,20.0,44.2
1272,Burundi,2021,14.4,15.6
1273,Madagascar,2021,56.7,18.6
1274,Malawi,2021,34.2,10.9
1275,Mozambique,2021,49.2,27.7
1276,Uganda,2021,28.8,15.2
1277,Zimbabwe,2021,66.2,22.0
1278,Central African Rep.,2021,44.1,25.0
1279,Chad,2021,48.3,31.1
1280,Algeria,2021,20.0,42.9
1281,Egypt,2021,3.0,67.7
1282,Morocco,2021,21.9,51.9
1283,Tunisia,2021,28.7,44.8
1284,Botswana,2021,30.5,19.8
1285,South Africa,2021,21.2,49.2
1286,Niger,2021,50.0,23.5
1287,Sierra Leone,2021,42.3,38.5
1288,Kazakhstan,2021,23.1,44.2
1289,Japan,2021,8.8,68.4
1290,Pakistan,2021,11.8,45.7
1291,Sri Lanka,2021,15.2,35.3
1292,Philippines,2021,15.1,41.6
1293,Thailand,2021,39.0,34.6
1294,Ukraine,2021,25.8,44.8
1295,Finland,2021,39.0,26.1
1296,Sweden,2021,31.0,32.3
1297,Bosnia and Herz.,2021,48.7,16.0
1298,Austria,2021,41.2,32.8
1299,Germany,2021,26.9,34.3
1300,Netherlands,2021,15.6,46.6
1301,Switzerland,2021,23.8,31.8
1302,Cuba,2021,17.8,46.5
1303,Honduras,2021,40.6,39.5
1304,Mexico,2021,22.6,53.6
1305,Nicaragua,2021,35.5,34.9
1306,Bolivia,2021,28.5,54.6
1307,Brazil,2021,20.7,53.9
1308,Canada,2021,23.8,52.3
1309,Australia,2021,17.9,49.1
1310,United States of America,2021,25.9,34.5
1311,Colombia,2021,18.4,62.4
1312,WORLD,2022,19.9,44.4
1313,Burundi,2022,13.4,15.7
1314,Madagascar,2022,56.2,18.8
1315,Malawi,2022,32.9,11.0
1316,Mozambique,2022,48.4,27.9
1317,Uganda,2022,27.3,15.5
1318,Zimbabwe,2022,65.9,22.2
1319,Central African Rep.,2022,44.2,25.0
1320,Chad,2022,48.1,31.2
1321,Algeria,2022,19.7,42.9
1322,Egypt,2022,2.8,68.3
1323,Morocco,2022,21.8,52.0
1324,Tunisia,2022,28.7,44.8
1325,Botswana,2022,30.3,20.1
1326,South Africa,2022,21.0,49.5
1327,Niger,2022,49.5,23.4
1328,Sierra Leone,2022,42.3,38.3
1329,Kazakhstan,2022,22.9,44.5
1330,Japan,2022,8.8,68.4
1331,Pakistan,2022,11.6,46.0
1332,Sri Lanka,2022,15.1,35.5
1333,Philippines,2022,15.0,41.7
1334,Thailand,2022,38.7,34.9
1335,Ukraine,2022,25.7,44.7
1336,Finland,2022,38.9,26.1
1337,Sweden,2022,30.9,32.6
1338,Bosnia and Herz.,2022,48.6,15.8
1339,Austria,2022,41.1,32.9
1340,Germany,2022,26.8,34.3
1341,Netherlands,2022,15.5,46.9
1342,Switzerland,2022,23.6,32.0
1343,Cuba,2022,17.7,46.6
1344,Honduras,2022,40.2,39.3
1345,Mexico,2022,22.6,53.5
1346,Nicaragua,2022,35.5,34.9
1347,Bolivia,2022,28.3,54.7
1348,Brazil,2022,20.6,54.0
1349,Canada,2022,23.7,52.4
1350,Australia,2022,18.0,49.3
1351,United States of America,2022,25.8,34.6
1352,Colombia,2022,18.2,62.5
1353,WORLD,2023,19.8,44.5
1354,Burundi,2023,12.5,15.9
1355,Madagascar,2023,55.8,19.0
1356,Malawi,2023,31.7,11.1
1357,Mozambique,2023,47.7,28.1
1358,Uganda,2023,25.9,15.7
1359,Zimbabwe,2023,65.7,22.4
1360,Central African Rep.,2023,44.3,24.9
1361,Chad,2023,48.0,31.4
1362,Algeria,2023,19.5,42.8
1363,Egypt,2023,2.7,69.0
1364,Morocco,2023,21.8,52.0
1365,Tunisia,2023,28.6,44.9
1366,Botswana,2023,30.0,20.4
1367,South Africa,2023,20.9,49.8
1368,Niger,2023,49.1,23.4
1369,Sierra Leone,2023,42.3,38.1
1370,Kazakhstan,2023,22.8,44.8
1371,Japan,2023,8.7,68.4
1372,Pakistan,2023,11.3,46.2
1373,Sri Lanka,2023,14.9,35.7
1374,Philippines,2023,14.9,41.8
1375,Thailand,2023,38.4,35.3
1376,Ukraine,2023,25.6,44.7
1377,Finland,2023,38.8,26.1
1378,Sweden,2023,30.8,32.9
1379,Bosnia and Herz.,2023,48.5,15.6
1380,Austria,2023,41.0,33.0
1381,Germany,2023,26.7,34.4
1382,Netherlands,2023,15.4,47.2
1383,Switzerland,2023,23.3,32.2
1384,Cuba,2023,17.6,46.6
1385,Honduras,2023,39.8,39.2
1386,Mexico,2023,22.5,53.4
1387,Nicaragua,2023,35.4,34.9
1388,Bolivia,2023,28.0,54.8
1389,Brazil,2023,20.5,54.0
1390,Canada,2023,23.7,52.5
1391,Australia,2023,18.1,49.5
1392,United States of America,2023,25.7,34.7
1393,Colombia,2023,18.1,62.6
1394,Gabon,1990,24.40,34.60
1395,Gabon,1991,24.10,35.90
1396,Gabon,1992,23.90,37.00
1397,Gabon,1993,23.60,38.20
1398,Gabon,1994,23.40,39.20
1399,Gabon,1995,23.10,40.20
1400,Gabon,1996,22.80,40.10
1401,Gabon,1997,22.60,39.90
1402,Gabon,1998,22.30,39.80
1403,Gabon,1999,22.00,39.70
1404,Gabon,2000,21.80,39.50
1405,Gabon,2001,21.70,42.50
1406,Gabon,2002,21.70,45.20
1407,Gabon,2003,21.70,47.80
1408,Gabon,2004,21.60,50.30
1409,Gabon,2005,21.60,52.70
1410,Gabon,2006,21.30,53.60
1411,Gabon,2007,21.10,54.40
1412,Gabon,2008,20.90,55.20
1413,Gabon,2009,20.70,55.90
1414,Gabon,2010,20.50,56.60
1415,Gabon,2011,20.30,56.80
1416,Gabon,2012,20.00,57.00
1417,Gabon,2013,19.80,57.10
1418,Gabon,2014,19.60,57.30
1419,Gabon,2015,19.40,57.50
1420,Gabon,2016,18.80,58.50
1421,Gabon,2017,18.30,59.50
1422,Gabon,2018,17.80,60.50
1423,Gabon,2019,17.40,61.40
1424,Gabon,2020,16.90,62.20
1425,Gabon,2021,16.80,62.00
1426,Gabon,2022,16.70,61.80
1427,Gabon,2023,16.60,61.60
