,country,year,rural,city
149,Bosnia and Herz.,1993,51.1,19.0
150,Austria,1993,47.7,28.7
151,Germany,1993,28.1,32.8
152,Netherlands,1993,17.5,41.0
153,Switzerland,1993,30.2,26.7
154,Cuba,1993,16.6,46.5
155,Honduras,1993,52.4,25.4
156,Mexico,1993,25.6,52.5
157,Nicaragua,1993,35.2,32.4
158,Bolivia,1993,40.6,40.7
159,Brazil,1993,24.8,45.9
160,Canada,1993,28.1,39.1
161,Australia,1993,21.9,40.4
162,United States of America,1993,31.6,23.6
163,Colombia,1993,26.6,50.8
164,WORLD,1994,25.4,36.5
165,Burundi,1994,39.7,7.6
166,Madagascar,1994,71.6,7.5
167,Malawi,1994,64.4,5.8
168,Mozambique,1994,51.4,21.5
169,Uganda,1994,59.2,8.4
170,Zimbabwe,1994,62.5,21.8
171,Central African Rep.,1994,50.1,20.4
172,Chad,1994,49.9,27.9
173,Algeria,1994,30.3,29.6
174,Egypt,1994,5.2,52.6
175,Morocco,1994,29.0,44.2
176,Tunisia,1994,37.5,31.5
177,Botswana,1994,34.4,3.0
178,South Africa,1994,29.3,29.4
179,Niger,1994,53.3,20.0
180,Sierra Leone,1994,53.4,25.9
181,Kazakhstan,1994,32.8,31.1
182,Japan,1994,9.4,67.5
183,Pakistan,1994,25.8,39.1
184,Sri Lanka,1994,21.7,26.1
185,Philippines,1994,23.8,36.6
186,Thailand,1994,50.7,17.2
187,Ukraine,1994,25.2,46.1
188,Finland,1994,44.7,21.1
189,Sweden,1994,36.2,23.4
190,Bosnia and Herz.,1994,51.4,18.4
191,Austria,1994,47.6,28.6
192,Germany,1994,28.0,32.9
193,Netherlands,1994,17.3,41.3
194,Switzerland,1994,29.8,26.8
195,Cuba,1994,16.6,46.6
196,Honduras,1994,52.1,25.4
197,Mexico,1994,25.4,52.7
198,Nicaragua,1994,35.0,33.0
199,Bolivia,1994,39.9,41.9
200,Brazil,1994,24.6,46.5
201,Canada,1994,28.0,39.6
202,Australia,1994,21.7,41.0
203,United States of America,1994,31.3,23.8
204,Colombia,1994,26.1,51.1
205,WORLD,1995,25.1,37.0
206,Burundi,1995,39.3,8.0
207,Madagascar,1995,71.1,7.5
208,Malawi,1995,63.9,6.0
209,Mozambique,1995,51.0,22.2
210,Uganda,1995,58.4,8.7
211,Zimbabwe,1995,62.3,22.2
212,Central African Rep.,1995,49.7,20.6
213,Chad,1995,49.5,28.1
214,Algeria,1995,29.7,30.1
215,Egypt,1995,5.0,53.2
216,Morocco,1995,28.7,44.6
217,Tunisia,1995,36.8,32.4
218,Botswana,1995,34.0,3.7
219,South Africa,1995,28.9,30.1
220,Niger,1995,52.8,20.5
221,Sierra Leone,1995,53.2,26.4
222,Kazakhstan,1995,32.4,31.3
223,Japan,1995,9.3,67.9
224,Pakistan,1995,25.1,39.7
225,Sri Lanka,1995,21.4,26.4
226,Philippines,1995,23.4,36.8
227,Thailand,1995,50.2,17.6
228,Ukraine,1995,25.2,46.1
229,Finland,1995,44.4,21.6
230,Sweden,1995,36.0,23.4
231,Bosnia and Herz.,1995,51.8,17.6
232,Austria,1995,47.5,28.4
233,Germany,1995,27.9,32.9
234,Netherlands,1995,17.2,41.7
235,Switzerland,1995,29.5,26.9
236,Cuba,1995,16.6,46.6
237,Honduras,1995,51.8,25.5
238,Mexico,1995,25.2,53.0
239,Nicaragua,1995,34.8,33.5
240,Bolivia,1995,39.2,43.0
241,Brazil,1995,24.3,47.0
242,Canada,1995,27.8,40.1
243,Australia,1995,21.6,41.6
244,United States of America,1995,31.1,24.1
245,Colombia,1995,25.6,51.4
246,WORLD,1996,24.8,37.5
247,Burundi,1996,38.9,8.5
248,Madagascar,1996,70.6,7.9
249,Malawi,1996,62.9,6.4
250,Mozambique,1996,50.9,22.5
251,Uganda,1996,57.3,9.1
252,Zimbabwe,1996,62.2,22.4
253,Central African Rep.,1996,49.4,20.5
254,Chad,1996,49.1,28.8
255,Algeria,1996,29.2,30.7
256,Egypt,1996,4.9,53.8
257,Morocco,1996,28.4,44.8
258,Tunisia,1996,36.4,33.2
259,Botswana,1996,33.6,3.7
260,South Africa,1996,28.5,31.0
261,Niger,1996,52.2,20.9
262,Sierra Leone,1996,53.0,26.7
263,Kazakhstan,1996,32.1,31.5
264,Japan,1996,9.3,67.9
265,Pakistan,1996,24.2,40.4
266,Sri Lanka,1996,20.9,27.0
267,Philippines,1996,22.9,36.9
268,Thailand,1996,49.6,18.5
269,Ukraine,1996,25.2,45.9
270,Finland,1996,44.2,21.8
271,Sweden,1996,35.8,23.8
272,Bosnia and Herz.,1996,51.2,18.1
273,Austria,1996,47.3,28.3
274,Germany,1996,27.9,32.8
275,Netherlands,1996,17.0,41.9
276,Switzerland,1996,29.3,26.9
277,Cuba,1996,16.5,46.7
278,Honduras,1996,51.3,26.1
279,Mexico,1996,25.0,53.3
280,Nicaragua,1996,34.6,33.4
281,Bolivia,1996,38.4,43.9
282,Brazil,1996,24.1,47.5
283,Canada,1996,27.6,40.7
284,Australia,1996,21.6,41.4
285,United States of America,1996,30.8,24.6
286,Colombia,1996,25.1,52.0
287,WORLD,1997,24.5,38.0
288,Burundi,1997,38.4,9.0
289,Madagascar,1997,70.1,8.3
290,Malawi,1997,62.0,6.8
291,Mozambique,1997,50.8,22.8
292,Uganda,1997,56.3,9.4
293,Zimbabwe,1997,62.1,22.6
294,Central African Rep.,1997,49.1,20.4
295,Chad,1997,48.7,29.5
296,Algeria,1997,28.6,31.3
297,Egypt,1997,4.8,54.4
298,Morocco,1997,28.1,45.1
299,Tunisia,1997,35.9,33.9
300,Botswana,1997,33.2,3.7
301,South Africa,1997,28.2,31.9
302,Niger,1997,51.5,21.3
303,Sierra Leone,1997,52.8,27.1
304,Kazakhstan,1997,31.8,31.7
305,Japan,1997,9.2,67.8
306,Pakistan,1997,23.5,41.0
307,Sri Lanka,1997,20.5,27.6
308,Philippines,1997,22.5,37.0
309,Thailand,1997,48.9,19.4
310,Ukraine,1997,25.2,45.7
311,Finland,1997,44.0,22.0
312,Sweden,1997,35.6,24.2
313,Bosnia and Herz.,1997,50.5,18.6
314,Austria,1997,47.1,28.2
315,Germany,1997,27.9,32.6
316,Netherlands,1997,16.9,42.1
317,Switzerland,1997,29.2,26.9
318,Cuba,1997,16.5,46.7
319,Honduras,1997,50.8,26.8
320,Mexico,1997,24.8,53.6
321,Nicaragua,1997,34.4,33.3
322,Bolivia,1997,37.7,44.7
323,Brazil,1997,23.9,48.0
324,Canada,1997,27.4,41.3
325,Australia,1997,21.6,41.2
326,United States of America,1997,30.5,25.0
327,Colombia,1997,24.7,52.6
328,WORLD,1998,24.2,38.4
329,Burundi,1998,37.9,9.5
330,Madagascar,1998,69.6,8.7
331,Malawi,1998,61.1,7.2
332,Mozambique,1998,50.6,23.1
333,Uganda,1998,55.3,9.7
334,Zimbabwe,1998,62.0,22.9
335,Central African Rep.,1998,48.8,20.4
336,Chad,1998,48.4,30.1
337,Algeria,1998,28.1,31.9
338,Egypt,1998,4.7,54.9
339,Morocco,1998,27.8,45.3
340,Tunisia,1998,35.5,34.7
341,Botswana,1998,32.9,3.8
342,South Africa,1998,27.8,32.8
343,Niger,1998,51.0,21.7
344,Sierra Leone,1998,52.5,27.4
345,Kazakhstan,1998,31.4,32.0
346,Japan,1998,9.2,67.8
347,Pakistan,1998,22.7,41.6
348,Sri Lanka,1998,20.1,28.2
349,Philippines,1998,22.0,37.2
350,Thailand,1998,48.3,20.3
351,Ukraine,1998,25.2,45.5
352,Finland,1998,43.8,22.2
353,Sweden,1998,35.4,24.7
354,Bosnia and Herz.,1998,49.9,19.0
355,Austria,1998,47.0,28.2
356,Germany,1998,27.8,32.4
357,Netherlands,1998,16.8,42.3
358,Switzerland,1998,29.0,26.8
359,Cuba,1998,16.5,46.7
360,Honduras,1998,50.3,27.4
361,Mexico,1998,24.5,53.9
362,Nicaragua,1998,34.2,33.2
363,Bolivia,1998,37.0,45.4
364,Brazil,1998,23.6,48.4
365,Canada,1998,27.2,41.9
366,Australia,1998,21.6,41.0
367,United States of America,1998,30.3,25.5
368,Colombia,1998,24.3,53.1
369,WORLD,1999,23.9,38.9
370,Burundi,1999,37.5,9.9
371,Madagascar,1999,69.2,9.0
372,Malawi,1999,60.3,7.5
373,Mozambique,1999,50.5,23.4
374,Uganda,1999,54.4,10.0
375,Zimbabwe,1999,62.0,23.1
376,Central African Rep.,1999,48.5,20.3
377,Chad,1999,48.0,30.7
378,Algeria,1999,27.6,32.5
379,Egypt,1999,4.5,55.5
380,Morocco,1999,27.5,45.5
381,Tunisia,1999,35.0,35.5
382,Botswana,1999,32.5,3.8
383,South Africa,1999,27.4,33.7
384,Niger,1999,50.4,22.1
385,Sierra Leone,1999,52.3,27.7
386,Kazakhstan,1999,31.1,32.2
387,Japan,1999,9.2,67.8
388,Pakistan,1999,22.1,42.2
389,Sri Lanka,1999,19.7,28.8
390,Philippines,1999,21.6,37.3
391,Thailand,1999,47.7,21.2
392,Ukraine,1999,25.2,45.3
393,Finland,1999,43.6,22.3
394,Sweden,1999,35.3,25.1
395,Bosnia and Herz.,1999,49.3,19.4
396,Austria,1999,46.8,28.1
397,Germany,1999,27.8,32.2
398,Netherlands,1999,16.6,42.6
399,Switzerland,1999,28.9,26.8
400,Cuba,1999,16.4,46.7
401,Honduras,1999,49.9,27.9
402,Mexico,1999,24.3,54.2
403,Nicaragua,1999,34.0,33.1
404,Bolivia,1999,36.4,46.2
405,Brazil,1999,23.4,48.9
406,Canada,1999,27.1,42.5
407,Australia,1999,21.6,40.8
408,United States of America,1999,30.0,25.9
409,Colombia,1999,23.8,53.6
410,WORLD,2000,23.7,39.4
411,Burundi,2000,37.0,10.4
412,Madagascar,2000,68.8,9.3
413,Malawi,2000,59.4,7.9
414,Mozambique,2000,50.4,23.6
415,Uganda,2000,53.5,10.3
416,Zimbabwe,2000,61.9,23.3
417,Central African Rep.,2000,48.2,20.3
418,Chad,2000,47.7,31.2
419,Algeria,2000,27.1,33.0
420,Egypt,2000,4.4,56.0
421,Morocco,2000,27.3,45.6
422,Tunisia,2000,34.6,36.2
423,Botswana,2000,32.2,3.8
424,South Africa,2000,27.1,34.5
425,Niger,2000,49.9,22.4
426,Sierra Leone,2000,52.1,28.0
427,Kazakhstan,2000,30.8,32.5
428,Japan,2000,9.1,67.8
429,Pakistan,2000,21.4,42.8
430,Sri Lanka,2000,19.3,29.3
431,Philippines,2000,21.2,37.4
432,Thailand,2000,47.1,22.1
433,Ukraine,2000,25.2,45.1
434,Finland,2000,43.4,22.5
435,Sweden,2000,35.1,25.5
436,Bosnia and Herz.,2000,48.8,19.8
437,Austria,2000,46.6,28.0
438,Germany,2000,27.8,32.1
439,Netherlands,2000,16.5,42.8
440,Switzerland,2000,28.7,26.8
441,Cuba,2000,16.4,46.7
442,Honduras,2000,49.5,28.5
443,Mexico,2000,24.1,54.4
444,Nicaragua,2000,33.9,33.0
445,Bolivia,2000,35.7,46.9
446,Brazil,2000,23.2,49.3
447,Canada,2000,26.9,43.1
448,Australia,2000,21.6,40.6
449,United States of America,2000,29.8,26.3
450,Colombia,2000,23.4,54.1
451,WORLD,2001,23.5,39.7
452,Burundi,2001,36.4,10.7
453,Madagascar,2001,68.3,9.5
454,Malawi,2001,58.3,8.1
455,Mozambique,2001,50.4,23.9
456,Uganda,2001,52.6,10.4
457,Zimbabwe,2001,62.1,23.2
458,Central African Rep.,2001,47.9,20.6
459,Chad,2001,47.6,31.5
460,Algeria,2001,26.8,33.6
461,Egypt,2001,4.3,56.7
462,Morocco,2001,26.9,45.9
463,Tunisia,2001,34.3,36.5
464,Botswana,2001,32.2,3.9
465,South Africa,2001,26.8,35.5
466,Niger,2001,49.8,22.9
467,Sierra Leone,2001,51.4,28.2
468,Kazakhstan,2001,30.3,32.9
469,Japan,2001,9.1,67.9
470,Pakistan,2001,20.8,43.0
471,Sri Lanka,2001,19.1,29.6
472,Philippines,2001,20.9,37.6
473,Thailand,2001,46.6,22.7
474,Ukraine,2001,25.2,45.1
475,Finland,2001,43.2,22.6
476,Sweden,2001,34.9,25.6
477,Bosnia and Herz.,2001,48.6,19.7
478,Austria,2001,46.3,28.2
479,Germany,2001,27.8,32.1
480,Netherlands,2001,16.5,43.0
481,Switzerland,2001,28.5,27.1
482,Cuba,2001,16.4,46.7
483,Honduras,2001,49.0,28.9
484,Mexico,2001,24.0,54.4
485,Nicaragua,2001,33.9,33.9
486,Bolivia,2001,35.3,47.4
487,Brazil,2001,23.1,49.6
488,Canada,2001,26.7,43.9
489,Australia,2001,21.5,40.8
490,United States of America,2001,29.6,26.5
491,Colombia,2001,23.2,54.7
492,WORLD,2002,23.3,39.9
493,Burundi,2002,35.8,11.0
494,Madagascar,2002,67.8,9.6
495,Malawi,2002,57.1,8.3
496,Mozambique,2002,50.3,24.1
497,Uganda,2002,51.7,10.6
498,Zimbabwe,2002,62.4,23.1
499,Central African Rep.,2002,47.6,20.8
500,Chad,2002,47.5,31.8
501,Algeria,2002,26.4,34.2
502,Egypt,2002,4.2,57.3
503,Morocco,2002,26.5,46.2
504,Tunisia,2002,33.9,36.8
505,Botswana,2002,32.1,3.9
506,South Africa,2002,26.5,36.5
507,Niger,2002,49.7,23.3
508,Sierra Leone,2002,50.8,28.4
509,Kazakhstan,2002,29.9,33.4
510,Japan,2002,9.1,68.0
511,Pakistan,2002,20.3,43.3
512,Sri Lanka,2002,18.9,29.8
513,Philippines,2002,20.5,37.7
514,Thailand,2002,46.1,23.2
515,Ukraine,2002,25.3,45.1
516,Finland,2002,42.9,22.8
517,Sweden,2002,34.8,25.7
518,Bosnia and Herz.,2002,48.4,19.6
519,Austria,2002,46.0,28.4
520,Germany,2002,27.8,32.1
521,Netherlands,2002,16.4,43.2
522,Switzerland,2002,28.3,27.4
523,Cuba,2002,16.3,46.7
524,Honduras,2002,48.6,29.4
525,Mexico,2002,23.9,54.4
526,Nicaragua,2002,34.0,34.7
527,Bolivia,2002,34.8,47.8
528,Brazil,2002,22.9,49.8
529,Canada,2002,26.5,44.7
530,Australia,2002,21.3,41.0
531,United States of America,2002,29.4,26.7
532,Colombia,2002,22.9,55.3
533,WORLD,2003,23.1,40.2
534,Burundi,2003,35.3,11.3
535,Madagascar,2003,67.4,9.8
536,Malawi,2003,56.1,8.5
537,Mozambique,2003,50.2,24.4
538,Uganda,2003,50.9,10.7
539,Zimbabwe,2003,62.6,23.0
540,Central African Rep.,2003,47.2,21.1
541,Chad,2003,47.4,32.0
542,Algeria,2003,26.0,34.8
543,Egypt,2003,4.1,57.9
544,Morocco,2003,26.2,46.5
545,Tunisia,2003,33.6,37.1
546,Botswana,2003,32.0,3.9
547,South Africa,2003,26.3,37.4
548,Niger,2003,49.7,23.7
549,Sierra Leone,2003,50.2,28.7
550,Kazakhstan,2003,29.5,33.8
551,Japan,2003,9.0,68.1
552,Pakistan,2003,19.7,43.6
553,Sri Lanka,2003,18.8,30.0
554,Philippines,2003,20.2,37.9
555,Thailand,2003,45.6,23.8
556,Ukraine,2003,25.4,45.1
557,Finland,2003,42.7,22.9
558,Sweden,2003,34.7,25.9
559,Bosnia and Herz.,2003,48.2,19.5
560,Austria,2003,45.7,28.6
561,Germany,2003,27.7,32.1
562,Netherlands,2003,16.4,43.5
563,Switzerland,2003,28.1,27.8
564,Cuba,2003,16.3,46.8
565,Honduras,2003,48.3,29.7
566,Mexico,2003,23.8,54.4
567,Nicaragua,2003,34.1,35.5
568,Bolivia,2003,34.4,48.3
569,Brazil,2003,22.8,50.0
570,Canada,2003,26.3,45.5
571,Australia,2003,21.2,41.3
572,United States of America,2003,29.2,26.9
573,Colombia,2003,22.6,55.8
574,WORLD,2004,22.9,40.5
575,Burundi,2004,34.8,11.6
576,Madagascar,2004,67.0,9.9
577,Malawi,2004,55.1,8.7
578,Mozambique,2004,50.2,24.6
579,Uganda,2004,50.1,10.8
580,Zimbabwe,2004,62.8,22.9
581,Central African Rep.,2004,46.9,21.3
582,Chad,2004,47.3,32.2
583,Algeria,2004,25.6,35.4
584,Egypt,2004,4.0,58.5
585,Morocco,2004,25.9,46.8
586,Tunisia,2004,33.3,37.4
587,Botswana,2004,32.0,3.9
588,South Africa,2004,26.0,38.3
589,Niger,2004,49.6,24.1
590,Sierra Leone,2004,49.6,28.9
591,Kazakhstan,2004,29.0,34.3
592,Japan,2004,9.0,68.2
593,Pakistan,2004,19.2,43.8
594,Sri Lanka,2004,18.6,30.2
595,Philippines,2004,19.8,38.1
596,Thailand,2004,45.1,24.4
597,Ukraine,2004,25.4,45.1
598,Finland,2004,42.5,23.0
599,Sweden,2004,34.6,26.0
600,Bosnia and Herz.,2004,48.1,19.3
601,Austria,2004,45.4,28.7
602,Germany,2004,27.7,32.1
603,Netherlands,2004,16.4,43.7
604,Switzerland,2004,27.9,28.1
605,Cuba,2004,16.3,46.8
606,Honduras,2004,47.9,30.1
607,Mexico,2004,23.7,54.4
608,Nicaragua,2004,34.1,36.3
609,Bolivia,2004,33.9,48.7
610,Brazil,2004,22.6,50.2
611,Canada,2004,26.1,46.3
612,Australia,2004,21.1,41.5
613,United States of America,2004,29.0,27.1
614,Colombia,2004,22.4,56.3
615,WORLD,2005,22.7,40.7
616,Burundi,2005,34.3,11.9
617,Madagascar,2005,66.6,10.0
618,Malawi,2005,54.1,8.9
619,Mozambique,2005,50.1,24.8
620,Uganda,2005,49.4,10.9
621,Zimbabwe,2005,63.0,22.9
622,Central African Rep.,2005,46.6,21.5
623,Chad,2005,47.2,32.4
624,Algeria,2005,25.3,35.9
625,Egypt,2005,3.9,59.1
626,Morocco,2005,25.6,47.1
627,Tunisia,2005,33.0,37.7
628,Botswana,2005,31.9,4.0
629,South Africa,2005,25.8,39.2
630,Niger,2005,49.5,24.4
631,Sierra Leone,2005,49.1,29.0
632,Kazakhstan,2005,28.6,34.7
633,Japan,2005,8.9,68.3
634,Pakistan,2005,18.8,44.1
635,Sri Lanka,2005,18.5,30.5
