country,year,n_extreme_vars,max_z_score,extreme_high_vars,extreme_low_vars,extreme_high_count,extreme_low_count
Austria,1998,1,0.9275496156190982,mean_sensible_heat,,1,0
Austria,1999,3,3.655723881553398,"runoff_days, max_runoff, max_monthly_wind_speed",,3,0
Austria,2000,2,1.8518905496691265,"runoff_days, mean_annual_wind_speed",,2,0
Austria,2001,2,1.535276416380746,anomaly_cold_days,min_temp,1,1
Austria,2002,2,3.165213935205776,"max_year_precip, ozone_mean",,2,0
Austria,2003,16,3.0456428323287037,"anomaly_heat_days, extreme_heat_episodes, extreme_area, caution_area, mean_caution_area, mean_extreme_area, annual_dry_area, drought_episodes, mean_dry_area, evap_deficit, ozone_mean, mean_annual_net_solar","mean_soil_moisture, min_monthly_soil_moisture, mean_annual_net_thermal, mean_sensible_heat",12,4
Austria,2005,2,2.873722522969089,"anomaly_cold_days, max_runoff",,2,0
Austria,2006,2,2.2637559659525266,"winter_mean_snow_density, mean_annual_rsn",,2,0
Austria,2007,4,2.0708156604473253,"max_temp, max_monthly_wind_speed","annual_total_evap, mean_latent_heat",2,2
Austria,2011,6,2.846909077533513,"annual_dry_area, drought_episodes, mean_dry_area, mean_annual_net_solar","mean_annual_net_thermal, mean_sensible_heat",4,2
Austria,2012,1,1.727115430735151,heavy_rain_days,,1,0
Austria,2013,3,3.2345761130088766,"max_temp, heat_episodes, pressure_variability",,3,0
Austria,2015,5,3.202003944029596,"extreme_heat_episodes, extreme_area, caution_area, mean_caution_area, mean_extreme_area",,5,0
Austria,2016,2,1.9569097293486029,pressure_variability,mean_annual_rsn,1,1
Austria,2017,2,1.4921521688830455,evap_deficit,min_temp,1,1
Austria,2018,3,1.5798373337891705,mean_temp,"annual_total_evap, mean_latent_heat",1,2
Austria,2019,1,3.2345761130088766,heat_episodes,,1,0
Austria,2020,1,2.1074787162228716,max_year_precip,,1,0
Austria,2022,1,0.7805118181276512,mean_annual_net_thermal,,1,0
Austria,2023,10,5.135845082467063,"mean_temp, heavy_rain_days, extreme_rain_days, mean_annual_wind_speed, annual_total_evap, annual_potential_evap, mean_annual_net_thermal, mean_latent_heat, mean_sensible_heat",mean_annual_net_solar,9,1
Bolivia,1990,4,1.7458330755933689,winter_mean_snow_density,"mean_temp, annual_total_evap, mean_latent_heat",1,3
Bolivia,1992,8,2.6227040996367013,"annual_freeze_burden, mean_cold_area, annual_potential_evap, mean_annual_rsn, mean_sensible_heat","mean_temp, annual_total_evap, mean_latent_heat",5,3
Bolivia,1993,2,1.7869673986864396,"heavy_rain_days, mean_annual_rsn",,2,0
Bolivia,1994,2,2.842356493545339,"max_year_precip, max_runoff",,2,0
Bolivia,1995,1,1.7045808750110547,extreme_rain_days,,1,0
Bolivia,1996,1,2.3239890072799416,pressure_variability,,1,0
Bolivia,1997,2,2.403725195647424,"max_monthly_wind_speed, mean_annual_wind_speed",,2,0
Bolivia,2001,1,2.244632546953803,winter_mean_snow_density,,1,0
Bolivia,2002,2,2.422916817064835,mean_annual_wind_speed,min_temp,1,1
Bolivia,2006,1,1.3223712823191867,runoff_days,,1,0
Bolivia,2008,1,1.3223712823191867,runoff_days,,1,0
Bolivia,2009,1,2.2268547721161376,max_monthly_wind_speed,,1,0
Bolivia,2010,5,1.9825727671614757,"evap_deficit, pressure_variability, mean_annual_net_solar","min_monthly_soil_moisture, mean_annual_net_thermal",3,2
Bolivia,2012,2,1.8879851463730035,"extreme_rain_days, runoff_days",,2,0
Bolivia,2014,4,2.8333518438692202,"max_temp, max_year_precip, runoff_days, max_runoff",,4,0
Bolivia,2017,3,2.0616793184535145,"anomaly_cold_days, heavy_rain_days",min_temp,2,1
Bolivia,2018,1,2.257663745743597,anomaly_cold_days,,1,0
Bolivia,2020,17,2.4885872842168952,"mean_temp, anomaly_heat_days, heat_episodes, extreme_heat_episodes, extreme_area, caution_area, mean_caution_area, mean_extreme_area, annual_dry_area, drought_episodes, mean_dry_area, evap_deficit, mean_annual_net_solar","mean_soil_moisture, mean_annual_rsn, mean_annual_net_thermal, mean_sensible_heat",13,4
Bolivia,2021,2,1.5981636183705719,,"min_monthly_soil_moisture, mean_sensible_heat",0,2
Bolivia,2022,11,2.6644097335885726,"max_temp, annual_freeze_burden, mean_cold_area, annual_dry_area, drought_episodes, mean_dry_area, annual_total_evap, mean_annual_net_thermal, mean_latent_heat","mean_soil_moisture, mean_annual_net_solar",9,2
Bolivia,2023,15,5.353083914792369,"mean_temp, anomaly_heat_days, heat_episodes, extreme_heat_episodes, extreme_area, caution_area, mean_caution_area, mean_extreme_area, annual_total_evap, annual_potential_evap, mean_annual_net_thermal, mean_latent_heat, mean_sensible_heat","mean_annual_rsn, mean_annual_net_solar",13,2
Bosnia and Herz.,1991,1,1.9128621011508864,,mean_temp,0,1
Bosnia and Herz.,1992,1,0.8747660664423317,,mean_annual_net_thermal,0,1
Bosnia and Herz.,1993,2,1.6119373083170736,"annual_freeze_burden, mean_cold_area",,2,0
Bosnia and Herz.,1996,5,2.1055246073058704,"annual_total_evap, mean_annual_net_thermal, mean_latent_heat","mean_temp, mean_annual_net_solar",3,2
Bosnia and Herz.,1997,3,1.9243700986103474,"annual_freeze_burden, mean_cold_area, mean_annual_wind_speed",,3,0
Bosnia and Herz.,1998,3,1.9812051833589037,"anomaly_cold_days, max_monthly_wind_speed, mean_annual_wind_speed",,3,0
Bosnia and Herz.,1999,2,1.6586819610793577,"mean_annual_rsn, mean_sensible_heat",,2,0
Bosnia and Herz.,2000,11,2.1262164586942385,"max_temp, anomaly_heat_days, winter_mean_snow_density, annual_dry_area, mean_dry_area, evap_deficit, max_monthly_wind_speed, mean_annual_net_solar","mean_soil_moisture, min_monthly_soil_moisture, mean_annual_net_thermal",8,3
Bosnia and Herz.,2002,3,2.642683639414267,"winter_mean_snow_density, max_year_precip, max_runoff",,3,0
Bosnia and Herz.,2003,6,3.1936505457364306,"anomaly_heat_days, anomaly_cold_days, max_year_precip, max_runoff","min_temp, mean_sensible_heat",4,2
Bosnia and Herz.,2004,1,1.892431738716703,runoff_days,,1,0
Bosnia and Herz.,2005,3,2.491897693217025,"runoff_days, annual_potential_evap, mean_annual_rsn",,3,0
Bosnia and Herz.,2006,1,1.8582626668677642,pressure_variability,,1,0
Bosnia and Herz.,2007,1,1.755795394929155,max_temp,,1,0
Bosnia and Herz.,2010,2,2.307119759139064,"heavy_rain_days, extreme_rain_days",,2,0
Bosnia and Herz.,2011,3,1.9355714828389505,"annual_dry_area, drought_episodes, mean_dry_area",,3,0
Bosnia and Herz.,2012,10,2.380220093037685,"heat_episodes, extreme_heat_episodes, extreme_area, caution_area, mean_caution_area, mean_extreme_area, evap_deficit","mean_soil_moisture, min_monthly_soil_moisture, mean_sensible_heat",7,3
Bosnia and Herz.,2013,1,1.915217443272725,pressure_variability,,1,0
Bosnia and Herz.,2014,4,2.3059368723125506,"heavy_rain_days, extreme_rain_days","annual_total_evap, mean_annual_rsn",2,2
Bosnia and Herz.,2015,5,1.5846302146998934,"extreme_heat_episodes, extreme_area, caution_area, mean_caution_area, mean_extreme_area",,5,0
Bosnia and Herz.,2016,1,0.8868965972186466,,mean_latent_heat,0,1
Bosnia and Herz.,2017,2,2.311863647321006,heat_episodes,min_temp,1,1
Bosnia and Herz.,2020,5,1.4598285305769465,"drought_episodes, mean_annual_net_solar","annual_total_evap, mean_annual_rsn, mean_latent_heat",2,3
Bosnia and Herz.,2021,1,1.6073519386175024,heat_episodes,,1,0
Bosnia and Herz.,2022,1,1.5852854637471376,mean_temp,,1,0
Bosnia and Herz.,2023,7,5.019865540922625,"mean_temp, annual_total_evap, annual_potential_evap, mean_annual_net_thermal, mean_latent_heat, mean_sensible_heat",mean_annual_net_solar,6,1
Botswana,1992,7,1.5623630802703699,"heat_episodes, annual_total_evap, mean_annual_net_solar, mean_latent_heat","mean_soil_moisture, mean_annual_net_thermal, mean_sensible_heat",4,3
Botswana,1994,4,2.824765289280471,"anomaly_cold_days, annual_freeze_burden, mean_cold_area",min_monthly_soil_moisture,3,1
Botswana,1996,5,3.4273183256758672,"annual_freeze_burden, mean_cold_area, max_year_precip, mean_annual_rsn",min_temp,4,1
Botswana,1998,1,1.8952077755319312,winter_mean_snow_density,,1,0
Botswana,1999,2,2.104710773724291,"max_monthly_wind_speed, mean_annual_wind_speed",,2,0
Botswana,2000,7,2.630047169094083,"winter_mean_snow_density, heavy_rain_days, extreme_rain_days, pressure_variability","mean_temp, annual_total_evap, mean_latent_heat",4,3
Botswana,2001,1,2.041777651459845,pm2.5_mean,,1,0
Botswana,2002,1,0.4048680301832105,,mean_annual_rsn,0,1
Botswana,2003,2,1.3944464249353008,evap_deficit,mean_sensible_heat,1,1
Botswana,2004,1,0.4048680301832105,,mean_annual_rsn,0,1
Botswana,2005,1,0.4048680301832105,,mean_annual_rsn,0,1
Botswana,2006,3,2.118688338661424,"heavy_rain_days, ozone_mean",mean_temp,2,1
Botswana,2007,1,1.7773196354467458,ozone_mean,,1,0
Botswana,2010,1,2.0989138161920553,pm2.5_mean,,1,0
Botswana,2011,5,2.140255041496526,"max_temp, anomaly_cold_days, heavy_rain_days, no2_mean",min_temp,4,1
Botswana,2012,1,3.371465129475146,mean_annual_rsn,,1,0
Botswana,2013,2,2.9105508922458387,"max_year_precip, max_runoff",,2,0
Botswana,2014,1,2.411945196004772,runoff_days,,1,0
Botswana,2015,8,1.780050345570226,"mean_temp, annual_dry_area, drought_episodes, mean_dry_area, evap_deficit, mean_annual_net_solar","mean_soil_moisture, mean_annual_net_thermal",6,2
Botswana,2016,1,2.7644214036063888,anomaly_heat_days,,1,0
Botswana,2017,3,2.8911629413030178,runoff_days,"annual_total_evap, mean_latent_heat",1,2
Botswana,2019,10,2.7615150558091712,"mean_temp, max_temp, anomaly_heat_days, heat_episodes, extreme_heat_episodes, extreme_area, caution_area, mean_caution_area, mean_extreme_area",min_monthly_soil_moisture,9,1
Botswana,2021,2,2.3086814353846505,"extreme_rain_days, pressure_variability",,2,0
Botswana,2022,7,2.126839440375474,"max_runoff, max_monthly_wind_speed, mean_annual_wind_speed, annual_potential_evap, mean_annual_net_thermal, mean_sensible_heat",mean_annual_net_solar,6,1
Botswana,2023,14,4.9580054195268195,"extreme_heat_episodes, extreme_area, caution_area, mean_caution_area, mean_extreme_area, annual_dry_area, drought_episodes, mean_dry_area, annual_total_evap, annual_potential_evap, mean_annual_net_thermal, mean_latent_heat, mean_sensible_heat",mean_annual_net_solar,13,1
Brazil,1990,4,2.1950891070632155,"anomaly_cold_days, pm2.5_mean","annual_total_evap, mean_latent_heat",2,2
Brazil,1991,4,2.2312323096585023,"max_year_precip, max_runoff, pressure_variability",min_temp,3,1
Brazil,1992,1,2.279947750561024,mean_annual_wind_speed,,1,0
Brazil,1994,1,2.778819829999995,mean_annual_rsn,,1,0
Brazil,1996,3,1.5810580663837086,pressure_variability,"annual_total_evap, mean_latent_heat",1,2
Brazil,1997,1,1.6700435375240505,winter_mean_snow_density,,1,0
Brazil,1998,2,0.9743910478826182,extreme_heat_episodes,mean_annual_rsn,1,1
Brazil,1999,1,1.3437139461008913,,mean_temp,0,1
Brazil,2000,6,3.7201758254873645,"anomaly_cold_days, annual_freeze_burden, mean_cold_area, heavy_rain_days, mean_annual_rsn",mean_temp,5,1
Brazil,2001,1,1.5207757134150914,winter_mean_snow_density,,1,0
Brazil,2002,1,0.9743910478826182,extreme_heat_episodes,,1,0
Brazil,2003,1,1.1421441696410475,pm2.5_mean,,1,0
Brazil,2008,1,1.3180076210449108,heavy_rain_days,,1,0
Brazil,2009,1,1.2900792633970668,no2_mean,,1,0
Brazil,2010,1,2.5046308619859072,max_temp,,1,0
Brazil,2011,3,1.7338344552307756,"extreme_heat_episodes, annual_freeze_burden, mean_cold_area",,3,0
Brazil,2012,4,2.3279586110425945,"extreme_heat_episodes, max_monthly_wind_speed","mean_annual_net_thermal, mean_sensible_heat",2,2
Brazil,2013,1,2.4429604026539664,,min_temp,0,1
Brazil,2014,1,0.9743910478826182,extreme_heat_episodes,,1,0
Brazil,2015,7,2.082943021233583,"mean_temp, max_temp, extreme_heat_episodes, evap_deficit, mean_annual_net_solar","mean_annual_rsn, mean_sensible_heat",5,2
Brazil,2016,2,1.3180076210449108,"extreme_heat_episodes, heavy_rain_days",,2,0
Brazil,2017,4,2.7234512031835543,"extreme_heat_episodes, extreme_rain_days, max_monthly_wind_speed, mean_annual_wind_speed",,4,0
Brazil,2018,1,0.9743910478826182,extreme_heat_episodes,,1,0
