country,year,cause,income_level_mode,Deaths,DALYs,Incidence,Deaths_ltmean,DALYs_ltmean,Incidence_ltmean,Deaths_dev_abs,DALYs_dev_abs,Incidence_dev_abs,Deaths_dev_pct,DALYs_dev_pct,Incidence_dev_pct,is_extreme_year,n_extreme_vars,max_z_score,extreme_high_vars,extreme_low_vars
Algeria,1990,Cardiovascular diseases,LM,531.7843374062059,11253.922791550658,796.9633848862101,413.88165113059455,8624.384165752781,704.0757836103014,117.9026862756113,2629.538625797877,92.88760127590865,28.487053232134897,30.489581345874072,13.192841372786223,True,1,2.0500318621717795,max_runoff,
Algeria,1990,Chronic respiratory diseases,LM,36.0915789595565,1002.6517081656076,900.81125066446,30.394363183458168,904.603460930373,935.4498906141891,5.697215776098332,98.04824723523461,-34.63863994972917,18.744316969927453,10.838809651954378,-3.702885670015574,True,1,2.0500318621717795,max_runoff,
Algeria,1990,Environmental heat and cold exposure,LM,0.1369688546210067,10.462594817114915,34.39190224033,0.09544709185647103,7.876650689581182,31.683432610769707,0.04152176276453566,2.5859441275337334,2.708469629560291,43.50238646031687,32.830504099341155,8.548535958315446,True,1,2.0500318621717795,max_runoff,
Algeria,1991,Cardiovascular diseases,LM,522.1766142024703,11022.731268443062,795.3622713522601,413.88165113059455,8624.384165752781,704.0757836103014,108.29496307187577,2398.3471026902807,91.2864877419587,26.165683541671385,27.80890851562548,12.965434952735826,True,1,1.8876939080378323,,mean_temp
Algeria,1991,Chronic respiratory diseases,LM,34.96569445168071,986.1160561190846,905.46316314001,30.394363183458168,904.603460930373,935.4498906141891,4.5713312682225435,81.51259518871166,-29.986727474179133,15.040062661060935,9.01086483848702,-3.205594203927986,True,1,1.8876939080378323,,mean_temp
Algeria,1991,Environmental heat and cold exposure,LM,0.1293087993776695,10.067620751269176,34.00253435931,0.09544709185647103,7.876650689581182,31.683432610769707,0.03386170752119848,2.1909700616879944,2.319101748540291,35.47694001208351,27.816011500752396,7.319603835324305,True,1,1.8876939080378323,,mean_temp
Algeria,1992,Cardiovascular diseases,LM,513.2302611496477,10816.110335156369,793.6170458811699,413.88165113059455,8624.384165752781,704.0757836103014,99.34861001905318,2191.726169403588,89.54126227086851,24.004110776030785,25.4131324310306,12.717560290417355,True,2,2.4683158701722667,extreme_rain_days,mean_temp
Algeria,1992,Chronic respiratory diseases,LM,34.232722876459455,973.0979733599725,909.51868576778,30.394363183458168,904.603460930373,935.4498906141891,3.838359693001287,68.49451242959947,-25.931204846409173,12.628524801895754,7.571772095494057,-2.772057071852721,True,2,2.4683158701722667,extreme_rain_days,mean_temp
Algeria,1992,Environmental heat and cold exposure,LM,0.123086136207277,9.733579993037798,33.62697691655,0.09544709185647103,7.876650689581182,31.683432610769707,0.02763904435080597,1.8569293034566163,1.9435443057802928,28.957450471480367,23.575113035199905,6.134260544482958,True,2,2.4683158701722667,extreme_rain_days,mean_temp
Algeria,1993,Cardiovascular diseases,LM,505.4664335492659,10633.970031198502,791.7486447672101,413.88165113059455,8624.384165752781,704.0757836103014,91.58478241867135,2009.5858654457206,87.67286115690865,22.12825385433022,23.30120999741335,12.452190971168903,True,1,1.1738205269698745,pressure_variability,
